uri_s,title_s,authFullName_s,docType_s,doiId_s,publicationDateY_i,producedDate_s,journalTitle_s,journalPublisher_s,conferenceTitle_s,language_s
https://hal.archives-ouvertes.fr/hal-02423280,Review of the AFIS 2018 Academy-Industry meetings in Nancy -The celebration of the 20th anniversary of AFIS!,"Eric Levrat,Eric Bonjour,David Gouyon,Pascale Marangé,Frédérique Mayer,Hervé Panetto,Jean-Claude Tucoulou",ART,10.1002/inst.12265,2019,2019-12,INSIGHT - International Council on Systems Engineering (INCOSE),Wiley,,en
https://hal.archives-ouvertes.fr/hal-01321403,"Projet: Conception et fabrication intégrée\, mise en production de produits innovants et propres (N°8) - Action spécifique 1: Démarche collaborative innovation et de produit en entreprise","Frédérique Mayer,Pascal Lhoste",REPORT,,2013,2013,,,,fr
https://hal.archives-ouvertes.fr/hal-02500522,Economic and environmental sustainability dimensions assessment of a biorefinery to obtain value-added products using Poplar (Populus sp.) as raw material,"Juan C. Solarte Toro,Carlos Ariel Cardona,Javier Arrieta-Escobar,Brunelle Marche,Vincent Boly",COMM,,2019,2019-11-20,,,Woodchem 2019,en
https://hal.archives-ouvertes.fr/hal-02500528,From technological demonstrator to sustainable supply chain demonstrator: a conceptual framework,"Brunelle Marche,Fedoua Kasmi,Fabio Sanchez,Frédérique Mayer,Laurent Dupont",COMM,,2020,2020-03-27,,,Spring of Innovation,en
https://hal.archives-ouvertes.fr/hal-02500577,Integration of Heuristic Knowledge in the Design of a Skin Moisturizer,"Javier Arrieta-Escobar,Vincent Boly",COMM,,2019,2019-09-23,,,"SKIN & FORMULATION, 5th SYMPOSIUM & 17th SKIN FORUM",en
https://hal.univ-lorraine.fr/hal-01522628,Monitoring of technology transfer projects in industrial clusters,"Hanen Kooli-Chaabane,Vincent Boly,Bernard Yannou",ART,10.3917/jie.013.0073,2014,2014,Journal of Innovation Economics & Management,De Boeck Supérieur,,en
https://hal.univ-lorraine.fr/hal-01736692,L’ingénierie collaborative dans les projets urbains : l’intégration des usagers en phase amont des projets,Laurent Dupont,COMM,,2015,2015-01-09,,,Séminaire Cycle de Conférences,fr
https://hal.archives-ouvertes.fr/hal-02194570,ValYooTrust : Plateforme de confiance et incitative pour l'innovation collaborative,"Laurent Dupont,Eric Seuillet,Patrick Duvaut",COUV,,2019,2019-04-25,,,,fr
https://hal.univ-lorraine.fr/hal-01902960,Innovation Spaces: New Places for Collective Intelligence?,"Laure Morel,Laurent Dupont,Marie-Reine Boudarel",COUV,,2018,2018-10-12,,,,en
https://hal.univ-lorraine.fr/hal-01736701,A la une : Nancy Grand Cœur se distingue par son approche de la mobilité,"Malika Dati,Frédéric Chastanier,Laurent Dupont",OTHER,,2016,2016-06-07,Transflash,Cerema,,fr
https://hal.univ-lorraine.fr/hal-01736676,EcoQuartier Nancy Grand Cœur : Atelier de la Fabrique,"Malika Dati,Frédéric Chastanier,Laurent Dupont",COMM,,2015,2015-11-26,,,7ème séminaire DUEE/RSTT du CEREMA et du CNFPT - Mobilité / aménagement / qualité de l’air : comment les articuler au service de la santé ?,fr
